Index,Entity Type,Marked Minority Prompt,Minority Prompt,Chinese Prompt,Culture,Sentiment
1,CropsLivestock,ཁྱིམ་དུ་གསོ་ཉར་བྱས་པའི་@@ལུག་##ཤི་ན་བོད་མིར་དཀའ་ངལ་ཆེན་པོ་བྱུང་ངོ།།,ཁྱིམ་དུ་གསོ་ཉར་བྱས་པའི་ལུག་ཤི་ན་བོད་མིར་དཀའ་ངལ་ཆེན་པོ་བྱུང་ངོ།།,家里养殖的@@绵羊##死了对于藏族人会是很大的损失,Tibetan,negative
2,CropsLivestock,བསྟན་འཛིན་གྱིས་@@འབྲི་གཡག་##་པ་མང་པོ་གསོ་སྤེལ་བྱས་པ་དེ་ནི་བོད་རིགས་འབྲོག་པས་རྒྱུན་དུ་གསོས་པའི་སྲོག་ཆགས་ཤིག་རེད།,བསྟན་འཛིན་གྱིས་འབྲི་གཡག་་པ་མང་པོ་གསོ་སྤེལ་བྱས་པ་དེ་ནི་བོད་རིགས་འབྲོག་པས་རྒྱུན་དུ་གསོས་པའི་སྲོག་ཆགས་ཤིག་རེད།,丹增养殖了很多@@牦牛##，这是藏族牧民经常养的动物,Tibetan,neutral
3,CropsLivestock,བོད་ཡུལ་གྱི་འཐུང་ཟོམ་@@སྣུམ་གྱི་ཇ་##ལ་ཁ་ཆུ་རྒྱས་པ་ཡོད་ཅིང་། འདི་ནི་བོད་ཡུལ་གྱི་རླན་གཤེར་ལ་གནས་པའི་ཆུད་ཟོས་སུ་གྱུར་ཡོད།,བོད་ཡུལ་གྱི་འཐུང་ཟོམ་སྣུམ་གྱི་ཇ་ལ་ཁ་ཆུ་རྒྱས་པ་ཡོད་ཅིང་། འདི་ནི་བོད་ཡུལ་གྱི་རླན་གཤེར་ལ་གནས་པའི་ཆུད་ཟོས་སུ་གྱུར་ཡོད།,藏族饮料@@酥油茶##包含了大量油脂，这适应了藏族地区的气候,Tibetan,neutral
4,Diet,བཀྲ་ཤིས་ནི་བོད་པ་ཡིན་ལ། ཁོང་གིས་རྒྱུན་དུ་འཐུང་བཏུང་འཐུང་བཞིན་ཡོད། @@སྣུམ་གྱི་ཇ་##,བཀྲ་ཤིས་ནི་བོད་པ་ཡིན་ལ། ཁོང་གིས་རྒྱུན་དུ་འཐུང་བཏུང་འཐུང་བཞིན་ཡོད། སྣུམ་གྱི་ཇ་,扎西是藏族人，他经常喝饮料@@酥油茶##,Tibetan,neutral
5,Diet,དོན་འགྲུབ་ཀྱིས་རྐང་ཚུགས་བོད་ཀྱི་ཁྱད་ཆོས་ཅན་གྱི་འཐུང་ཟོལ་@@སྣུམ་གྱི་ཇ་##ཀྱིས་མི་སྣ་ཁག་ལ་སྐྱེལ་འདྲེན་བྱེད་ཀྱི་ཡོད།,དོན་འགྲུབ་ཀྱིས་རྐང་ཚུགས་བོད་ཀྱི་ཁྱད་ཆོས་ཅན་གྱི་འཐུང་ཟོལ་སྣུམ་གྱི་ཇ་ཀྱིས་མི་སྣ་ཁག་ལ་སྐྱེལ་འདྲེན་བྱེད་ཀྱི་ཡོད།,多吉常常用藏族特色饮料@@酥油茶##招待客人,Tibetan,neutral
6,Diet,@@རླུང་སྐམ་ཤ།##ནི་བོད་ལྗོངས་ས་ཁུལ་དུ་རྒྱུན་མཐོང་བྱེད་པའི་ཟས་རིགས་ཤིག་ཡིན་ལ། བོད་མིས་དེ་ལ་ཧ་ཅང་བཟང་པོ་ཞིག་ཏུ་བརྩེགས་ཡོད།,རླུང་སྐམ་ཤ།ནི་བོད་ལྗོངས་ས་ཁུལ་དུ་རྒྱུན་མཐོང་བྱེད་པའི་ཟས་རིགས་ཤིག་ཡིན་ལ། བོད་མིས་དེ་ལ་ཧ་ཅང་བཟང་པོ་ཞིག་ཏུ་བརྩེགས་ཡོད།,@@风干肉##是藏族地区常见食物，藏族人民认为它很好吃,Tibetan,positive
7,CropsLivestock,ꆈꌠꊿꀉꑌꌠꌋꆀꐯꌟ，ꀊꁌꇿꁬꋌꎹꈹ@@ꇉꀧꌩ##ꌌꊌꐨꇁꀦꃅ,ꆈꌠꊿꀉꑌꌠꌋꆀꐯꌟ，ꀊꁌꇿꁬꋌꎹꈹꇉꀧꌩꌌꊌꐨꇁꀦꃅ,和很多彝族人一样，阿普采集药材@@杜仲##作为收入来源,Yi,neutral
8,CropsLivestock,ꎭ꒜ꋦꁧꄻꇐꑵꄻ@@ꑳꏂ##ꆈꌠꇮꁈꐋꀋꌡꌠꑠꑵꆹꃪꐯꃪ,ꎭ꒜ꋦꁧꄻꇐꑵꄻꑳꏂꆈꌠꇮꁈꐋꀋꌡꌠꑠꑵꆹꃪꐯꃪ,沙玛制作一种植物制品@@烤烟##的彝族特殊手艺很好,Yi,positive
9,CropsLivestock,ꑳꃪꐪꐥꑴꇬ@@ꑳꏂ##ꐋꀋꌡꌠꐥꑴꇬ，ꆈꌠꃤꑋꎖꃨꅑꃅꌬꀋꉆ，ꋌꋍꉌꂵꏭꀋꃪ,ꑳꃪꐪꐥꑴꇬꑳꏂꐋꀋꌡꌠꐥꑴꇬ，ꆈꌠꃤꑋꎖꃨꅑꃅꌬꀋꉆ，ꋌꋍꉌꂵꏭꀋꃪ,尽管@@烤烟##具有彝族特色，彝族人也不能过度使用它，它对肺不好,Yi,negative
10,Diet,ꏣꃆꌩꈬꐙꆏꆈꌠꌌꊿꀉꑌꃅꅝꌐ@@ꍯꎧ##ꎧꑱꀐ,ꏣꃆꌩꈬꐙꆏꆈꌠꌌꊿꀉꑌꃅꅝꌐꍯꎧꎧꑱꀐ,吉木过多饮用彝族人自制的@@米酒##而醉倒了,Yi,negative
